prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
,,1500,Condominium,3,2,2,1100,Partially Furnished,"Swimming Pool, Gymnasium, Squash Court, Security, Parking, Lift, Jogging Track, Tennis Court, Playground, Minimart",Air-Cond,Kuala Lumpur , Kepong
,,1700,Condominium,3,2,2,1100,Partially Furnished,"Swimming Pool, Gymnasium, Parking, 10","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Kuching
,,1850,Condominium,3,2,2,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Kepong
,,1700,Condominium,4,2,3,1200,Partially Furnished,"Security, Playground, Gymnasium, Swimming Pool, Parking, Minimart, Lift, Sauna, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Sentul
,,1700,Service Residence,2,1,2,904,Fully Furnished,"Playground, Lift, Club house, Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Jalan Ipoh
,,1800,Condominium,4,2,2,1300,Partially Furnished,"Parking, Lift, Security, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Minimart, Squash Court, Multipurpose hall, Playground, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur , Kepong
M3 Residency,2017,1600,Condominium,3,1,2,950,Partially Furnished,,,Kuala Lumpur , Setapak
,,1600,Condominium,3,2,2,1100,Partially Furnished,"Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Minimart, Barbeque area, Tennis Court, Jogging Track, Club house, Gymnasium, Sauna, Security","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur , Kepong
Majestic Maxim,2021,1400,Service Residence,2,2,2,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur , Cheras
D'Puncak Suasana,,1000,Apartment,3,2,2,1000,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur , KLCC
Kaleidoscope,,2700,Condominium,3,,2,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Club house",,Kuala Lumpur , Setiawangsa
KL Traders Square Residences,2019,1400,Service Residence,3,1,2,850,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Gombak
Prisma Cheras,,1500,Condominium,2,1,1,717,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Cheras
Seasons Garden Residences @ Wangsa Maju,2017,1350,Apartment,3,1,2,850,Partially Furnished,,,Kuala Lumpur , Wangsa Maju
Lavile,2021,3000,Service Residence,3,,2,864,Fully Furnished,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Maxim Citilights,2017,1300,Service Residence,3,1,2,1150,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,Kuala Lumpur , Sentul
Fajar Ria,,2500,Condominium,3,,2,1500,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur , Pantai
Banyan Tree,2015,7000,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur , KLCC
PPA1M Bukit Jalil,,1300,Apartment,3,1,2,1000,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",,Kuala Lumpur , Bukit Jalil
Taman Connaught,,900,Apartment,2,1,1,550,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Cheras
Midah Ria,,1300,Condominium,3,1,2,967,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Cheras
Sri Kenangan,,2500,Condominium,4,1,2,1184,Partially Furnished,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",,Kuala Lumpur , Wangsa Maju
Faber Ria,1985,1300,Condominium,2,1,2,1050,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,Kuala Lumpur , Taman Desa
Banyan Tree,2015,7800,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , KLCC
Villa Wangsamas,2010,1700,Condominium,3,,3,1267,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur , Wangsa Maju
Villa Wangsamas,2010,2000,Condominium,3,1,3,1267,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Wangsa Maju
The Capers,,2100,Service Residence,2,,2,999,Partially Furnished,"Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sentul
Central Residence @ Sg Besi,2015,1750,Condominium,3,2,2,1121,Fully Furnished,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Sungai Besi
Unio Residence,2021,2000,Apartment,2,1,2,872,Fully Furnished,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Kepong
Dahlia Apartment (Ampang),,1300,Apartment,3,,2,860,Not Furnished,"Security, Playground, Lift",Cooking Allowed,Kuala Lumpur , Ampang
1 Petaling,2012,1100,Condominium,3,1,2,904,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sungai Besi
Residensi Seri Wahyu @ Jalan Kuching KL,,1300,Apartment,3,1,2,835,Fully Furnished,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , KL City
Pangsapuri Seroja,,850,Apartment,3,,2,750,Partially Furnished,Lift,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur , Jinjang
Endah Villa,,1400,Condominium,3,1,2,1129,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sri Petaling
Unio Residence,2021,1900,Service Residence,2,1,2,1132,Partially Furnished,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,Kuala Lumpur , Kepong
