prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
The Reach @ Titiwangsa,2017,2300,Condominium,3,2,3,1200,Fully Furnished,"Security, Swimming Pool, Parking, Gymnasium, Squash Court",,Kuala Lumpur , Setapak
,,2000,Service Residence,3,1,2,1304,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
The Capers,,2500,Service Residence,2,2,2,999,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Playground, Barbeque area, Sauna","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur , Sentul
South Brooks,2021,2900,Condominium,2,2,2,1001,Partially Furnished,"Security, Playground, Barbeque area, Parking, Swimming Pool, Gymnasium, Jogging Track, Lift, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur , Desa ParkCity
THE FENNEL AT SENTUL EAST,2017,2600,Condominium,3,2,3,1186,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Sentul
Infiniti Residences @ Wangsa Maju,2017,3000,Condominium,3,2,4,1518,Fully Furnished,,,Kuala Lumpur , Wangsa Maju
Sentrio Suites,2017,2500,Service Residence,2,1,2,856,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Lift, Gymnasium, Minimart, Barbeque area, Multipurpose hall, Sauna","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur , Desa Pandan
Pertiwi Indah,,1700,Condominium,3,1,2,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Cheras
Infiniti Residences @ Wangsa Maju,2017,3500,Condominium,3,2,4,1518,Fully Furnished,,,Kuala Lumpur , Wangsa Maju
Villa Wangsamas,2010,2000,Condominium,3,1,3,1267,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Minimart, Playground, Squash Court, Jogging Track",,Kuala Lumpur , Wangsa Maju
Prisma Perdana,,1250,Condominium,3,1,2,817,Partially Furnished,"Parking, Playground, Swimming Pool, Barbeque area","Cooking Allowed, Washing Machine",Kuala Lumpur , Cheras
Perdana Villa (Pandan Perdana),,1300,Apartment,3,,2,900,Partially Furnished,"Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Cheras
Sentrio Suites,2017,2000,Service Residence,3,2,2,950,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Washing Machine",Kuala Lumpur , Desa Pandan
Villa Wangsamas,2010,1700,Condominium,3,1,3,1267,Partially Furnished,"Swimming Pool, Squash Court, Jogging Track, Parking, Playground, Security, Minimart, Gymnasium",,Kuala Lumpur , Wangsa Maju
Lakeville Residence,2017,2000,Condominium,3,2,2,958,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Jogging Track, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Ipoh
Teratai Mewah Apartment,,950,Apartment,3,1,1,715,Partially Furnished,"Security, Playground, Parking, Lift, Multipurpose hall",Cooking Allowed,Kuala Lumpur , Setapak
Idaman Sutera,,1050,Condominium,3,1,2,850,Partially Furnished,"Parking, Security, Playground, Minimart, Swimming Pool, Gymnasium, Lift, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Setapak
Maxim Residences,2017,1300,Service Residence,2,,2,825,Partially Furnished,"Parking, Security, Gymnasium, Swimming Pool, Lift, Playground, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
Mandy Court,,1250,Apartment,3,1,2,818,Partially Furnished,"Squash Court, Jogging Track, Lift, Security, Minimart, Playground, Sauna, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Tennis Court, Barbeque area, Club house",Air-Cond,Kuala Lumpur , Segambut
KEP Apartment,,1300,Apartment,3,1,2,932,Not Furnished,"Lift, Parking, Jogging Track, Security",,Kuala Lumpur , Kuchai Lama
D'Alamanda,2014,1800,Service Residence,3,1,2,1097,Fully Furnished,"Gymnasium, Sauna, Parking, Security, Swimming Pool, Minimart, Playground, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Danau Idaman,2000,1650,Condominium,3,1,2,938,Fully Furnished,"Parking, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Sauna, Playground, Tennis Court, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Taman Desa
Royal Regent (Sri Putramas 3),2013,1900,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Playground, Swimming Pool, Tennis Court, Gymnasium, Sauna, Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Kuching
Residensi Jalilmas,,1100,Apartment,3,1,2,850,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Bukit Jalil
Danau Idaman,2000,1300,Condominium,3,1,2,938,Partially Furnished,"Parking, Security, Minimart, Playground, Gymnasium, Squash Court, Swimming Pool, Tennis Court, Sauna, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Taman Desa
Residensi Suria Pantai,2020,1600,Apartment,3,1,2,810,Partially Furnished,"Multipurpose hall, Playground, Security, Parking, Minimart, Swimming Pool",,Kuala Lumpur , Pantai
Suasana Lumayan,2015,1600,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
SAVILLE @ THE PARK Bangsar,2015,3000,Condominium,3,2,2,1250,Fully Furnished,"Gymnasium, Playground, Minimart, Security, Parking, Tennis Court, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Bangsar South
Saville,2013,1600,Service Residence,3,1,2,980,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Taman Melawati
Parkhill Residence Bukit Jalil,2019,2900,Condominium,3,1,2,1100,Fully Furnished,"Swimming Pool, Lift, Club house, Parking, Playground, Gymnasium, Security, Minimart, Squash Court",,Kuala Lumpur , Bukit Jalil
Residensi Suria Pantai,2020,1600,Apartment,3,1,2,810,Partially Furnished,"Multipurpose hall, Playground, Security, Parking, Minimart, Swimming Pool",,Kuala Lumpur , Pantai
Maxim Residences,2017,1400,Service Residence,2,1,2,885,Partially Furnished,"Swimming Pool, Security, Parking, Gymnasium, Playground, Minimart, Lift, Sauna, Jogging Track, Multipurpose hall, Barbeque area","Near KTM/LRT, Air-Cond, Washing Machine",Kuala Lumpur , Cheras
Arte Plus Jalan Ampang,2018,1600,Service Residence,3,,2,1185,Partially Furnished,"Parking, Playground, Gymnasium, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Security, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Ampang
M Vertica,2023,2500,Condominium,4,2,2,1000,Fully Furnished,"Playground, Tennis Court, Security, Barbeque area, Lift, Swimming Pool, Jogging Track, Multipurpose hall, Parking, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Aman Putra Apartment,,800,Apartment,3,,2,720,Not Furnished,Lift,,Kuala Lumpur , Jinjang
Rivercity Condominium,,1500,Condominium,3,1,2,1200,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Jalan Ipoh
Sky Meridien,,2600,Service Residence,2,2,2,794,Fully Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sentul
Enau Court,2000,3800,Condominium,3,1,2,1700,Partially Furnished,"Sauna, Security, Tennis Court, Gymnasium, Parking, Playground, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Keramat
Windsor Tower,2007,1500,Service Residence,1,,1,500,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Jogging Track, Security, Squash Court",Air-Cond,Kuala Lumpur , Sri Hartamas
Bandar Tasik Selatan (Low Cost),,900,Apartment,3,,2,650,Partially Furnished,"Playground, Lift, Minimart",Air-Cond,Kuala Lumpur , Cheras
,,850,Apartment,3,,2,800,Not Furnished,"Minimart, Parking, Multipurpose hall, Security",,Kuala Lumpur , Bukit Jalil
,,1000,Apartment,3,,2,800,Fully Furnished,"Parking, Security, Multipurpose hall, Minimart",,Kuala Lumpur , Bukit Jalil
,,1000,Apartment,3,,2,800,Fully Furnished,"Multipurpose hall, Parking, Security, Minimart",,Kuala Lumpur , Bukit Jalil
Abadi Villa,,1850,Condominium,3,1,2,1240,Not Furnished,"Parking, Security, Swimming Pool, Tennis Court, Playground, Gymnasium, Barbeque area, Sauna",,Kuala Lumpur , Taman Desa
PPA1M Metropolitan Kepong,2018,1500,Condominium,5,1,2,1500,Not Furnished,"Parking, Security, Lift, Playground, Barbeque area, Minimart, Multipurpose hall, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
Waldorf Tower,,2800,Condominium,2,1,2,1120,Fully Furnished,"Sauna, Gymnasium, Swimming Pool, Security, Playground, Barbeque area, Squash Court, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur , Sri Hartamas
THE FENNEL AT SENTUL EAST,2017,2000,Condominium,2,1,2,900,Fully Furnished,,,Kuala Lumpur , Sentul
Danau Kota Suite Apartments,2018,1900,Apartment,3,1,2,829,Fully Furnished,"Jogging Track, Parking, Swimming Pool, Gymnasium, Security, Minimart, Playground, Lift",,Kuala Lumpur , Setapak
Millerz Square @ Old Klang Road,2019,2500,Service Residence,2,2,2,871,Fully Furnished,,,Kuala Lumpur , Old Klang Road
3 Towers,2015,1200,Studio,1,,1,466,Fully Furnished,"Barbeque area, Security, Parking, Swimming Pool, Gymnasium, Multipurpose hall, Lift, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Ampang Hilir
The Haute,2019,1500,Condominium,3,,2,1100,Partially Furnished,"Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",,Kuala Lumpur , Keramat
Solaris Parq,,4500,Service Residence,3,2,2,1080,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Solaris Dutamas
Impiana on The Waterfront,,1650,Service Residence,2,1,2,1100,Partially Furnished,"Security, Parking, Swimming Pool, Playground, Gymnasium, Lift, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Ampang
The Scott Garden,2011,1600,Duplex,1,1,2,750,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Old Klang Road
Nova II,,1300,Apartment,3,1,2,1224,Partially Furnished,"Playground, Parking, Security, Lift, Jogging Track, Squash Court","Cooking Allowed, Air-Cond",Kuala Lumpur , Segambut
Residensi Desa Satumas,,1600,Condominium,3,1,2,850,Fully Furnished,"Security, Multipurpose hall, Playground, Parking, Minimart, Swimming Pool, Lift, Jogging Track","Cooking Allowed, Air-Cond, Internet, Washing Machine",Kuala Lumpur , Taman Desa
Jasmin,,1200,Apartment,3,1,2,700,Partially Furnished,"Parking, Security, Lift, Playground",Washing Machine,Kuala Lumpur , Setapak
Residensi KepongMas,2020,1200,Apartment,3,2,2,862,Not Furnished,Parking,,Kuala Lumpur , Kepong
Residensi KepongMas,2020,1200,Apartment,3,1,2,800,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur , Kepong
Sofiya Residences,,2350,Condominium,3,2,2,862,Fully Furnished,"Playground, Security, Lift, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Desa ParkCity
Suria Magna,,800,Apartment,3,,2,650,Not Furnished,"Parking, Playground",,Kuala Lumpur , Kepong
Sri Murni (Damansara Heights),,8000,Condominium,5,4,5,3143,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Squash Court, Tennis Court, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Damansara Heights
Sri Putramas,2004,1600,Condominium,3,1,2,1100,Partially Furnished,"Parking, Gymnasium, Barbeque area, Minimart, Swimming Pool, Playground, Tennis Court, Sauna, Security, Lift","Cooking Allowed, Air-Cond",Kuala Lumpur , Jalan Kuching
Prima Saujana,,1200,Apartment,3,1,2,950,Fully Furnished,"Gymnasium, Parking, Security, Playground, Lift, Swimming Pool, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Kepong
Aman Puri,,900,Apartment,3,1,2,904,Not Furnished,"Parking, Playground, Barbeque area, Swimming Pool, Security, Lift, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur , Kepong
Vista Wirajaya 2 @ PV9 Residence,,1800,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Security, Lift, Swimming Pool, Playground","Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur , Setapak
Vista Saujana,,1000,Apartment,3,1,2,988,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed",Kuala Lumpur , Kepong
Serini Melawati,2018,1800,Condominium,2,2,1,633,Fully Furnished,"Gymnasium, Parking, Playground, Security, Minimart, Swimming Pool",,Kuala Lumpur , Taman Melawati
Residensi KepongMas,2020,1350,Apartment,3,1,2,800,Partially Furnished,"Parking, Swimming Pool, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
Residensi Jalilmas,,1300,Apartment,3,1,2,800,Partially Furnished,"Parking, Minimart, Multipurpose hall, Security, Lift",Near KTM/LRT,Kuala Lumpur , Bukit Jalil
Teratai Mewah Apartment,,980,Apartment,3,,1,653,Partially Furnished,"Parking, Security, Lift, Playground",Cooking Allowed,Kuala Lumpur , Setapak
Sering Akasia,2009,1500,Duplex,4,,3,1546,Partially Furnished,"Parking, Playground, Minimart, Barbeque area, Security, Swimming Pool, Gymnasium",,Kuala Lumpur , Cheras
Prisma Cheras,,1500,Condominium,3,,2,1152,Partially Furnished,"Gymnasium, Sauna, Parking, Security, Playground, Barbeque area, Swimming Pool, Tennis Court, Squash Court, Lift",Cooking Allowed,Kuala Lumpur , Cheras
Le Chateau,,1500,Apartment,3,1,1,1030,Partially Furnished,"Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur , Seputeh
Mutiara Magna,,880,Apartment,3,,2,650,Partially Furnished,"Parking, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
M Vertica,2023,2500,Condominium,3,2,2,850,Fully Furnished,"Jogging Track, Barbeque area, Parking, Security, Swimming Pool, Lift, Playground, Tennis Court, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Residensi Pandanmas 2,,1500,Apartment,3,,2,930,Fully Furnished,"Jogging Track, Gymnasium, Swimming Pool, Minimart, Security, Playground, Parking, Lift, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur , Desa Pandan
M Vertica,2023,2500,Condominium,3,2,2,850,Fully Furnished,"Lift, Barbeque area, Tennis Court, Swimming Pool, Multipurpose hall, Security, Jogging Track, Parking, Playground, Gymnasium, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Brem Park 1,1980,1398,Condominium,3,1,2,980,Partially Furnished,"Playground, Barbeque area, Parking, Minimart, Club house, Security, Jogging Track, Squash Court, Swimming Pool, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Old Klang Road
Maxim Citilights,2017,1700,Service Residence,3,2,2,1095,Fully Furnished,"Multipurpose hall, Minimart, Jogging Track, Swimming Pool, Security, Playground, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Sentul
Kiara East - DEX Suites,2016,2000,Condominium,3,2,2,911,Fully Furnished,"Multipurpose hall, Playground, Gymnasium, Parking, Jogging Track, Security, Lift, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , KL City
South View,2017,3000,Service Residence,2,,2,815,Fully Furnished,"Playground, Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",Air-Cond,Kuala Lumpur , Bangsar South
Bandar Baru Sentul,,900,Flat,2,,1,570,Not Furnished,Minimart,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Sentul
Mizumi Residences,2020,1600,Service Residence,4,2,2,932,Partially Furnished,"Minimart, Playground, Swimming Pool, Gymnasium, Squash Court, Multipurpose hall, Security, Jogging Track, Lift, Sauna, Parking, Tennis Court, Club house","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
Vista Amani,,1750,Condominium,4,2,2,1150,Fully Furnished,"Minimart, Swimming Pool, Playground, Parking, Security, Gymnasium","Cooking Allowed, Washing Machine, Air-Cond, Near KTM/LRT",Kuala Lumpur , Cheras
PV9 Residences @ Taman Melati,2022,1800,Service Residence,3,2,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setapak
Bayu Andaman,,1700,Apartment,3,1,2,1000,Fully Furnished,"Gymnasium, Sauna, Minimart, Squash Court, Parking, Security, Playground, Swimming Pool, Lift",,Kuala Lumpur , Sentul
M Centura,2021,1400,Service Residence,3,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Sentul
Residensi KepongMas,2020,1200,Apartment,3,1,2,800,Partially Furnished,Parking,,Kuala Lumpur , Kepong
Ketumbar Heights,2010,1350,Condominium,3,1,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Petalz Residences @ Old Klang Road,2016,2200,Service Residence,2,1,2,895,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Old Klang Road
Dorchester,2003,1200,Service Residence,1,,1,410,Fully Furnished,"Parking, Swimming Pool, Barbeque area, Sauna, Minimart, Security, Gymnasium",,Kuala Lumpur , Sri Hartamas
Panorama Residences (Sentul),2014,1550,Condominium,3,,2,1100,Fully Furnished,"Security, Jogging Track, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Tennis Court, Playground",,Kuala Lumpur , Sentul
Danau Idaman,2000,1650,Condominium,3,1,2,980,Fully Furnished,"Gymnasium, Squash Court, Sauna, Parking, Security, Swimming Pool, Playground, Tennis Court, Minimart",,Kuala Lumpur , Taman Desa
Arte Mont Kiara,,2900,Service Residence,2,2,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Mont Kiara
Arte Mont Kiara,,1800,Service Residence,1,1,1,500,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Mont Kiara
Platinum Splendor Residensi Semarak,2020,1600,Condominium,3,2,2,926,Partially Furnished,"Security, Sauna, Minimart, Swimming Pool, Gymnasium, Tennis Court, Lift, Playground, Squash Court, Parking","Cooking Allowed, Washing Machine",Kuala Lumpur , Keramat
Platinum Splendor Residensi Semarak,2020,1500,Condominium,3,2,2,926,Partially Furnished,"Swimming Pool, Tennis Court, Parking, Gymnasium, Lift, Security, Playground, Sauna, Minimart, Squash Court",Cooking Allowed,Kuala Lumpur , Keramat
Seri Riana Residence,2016,4000,Condominium,3,2,2,1382,Fully Furnished,"Playground, Swimming Pool, Tennis Court, Barbeque area, Parking, Gymnasium, Squash Court, Jogging Track, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Wangsa Maju
i-Zen @ Kiara 2,2005,4999,Service Residence,3,2,3,1552,Fully Furnished,"Playground, Barbeque area, Sauna, Gymnasium, Security, Parking, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Mont Kiara
SkyMeridien Residences @ Sentul East,2022,2900,Service Residence,4,2,2,1200,Fully Furnished,"Parking, Gymnasium, Security, Playground, Swimming Pool, Jogging Track, Lift, Multipurpose hall, Minimart, Tennis Court, Sauna, Squash Court, Barbeque area, Club house",,Kuala Lumpur , Sentul
Paraiso @ The Earth Bukit Jalil,2020,2400,Condominium,3,2,2,1100,Fully Furnished,"Security, Sauna, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Club house",,Kuala Lumpur , Bukit Jalil
Regalia Residence,2012,1500,Service Residence,1,,1,500,Fully Furnished,"Swimming Pool, Playground, Gymnasium, Squash Court, Security, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Sultan Ismail
Platinum OUG Residence,,1350,Condominium,3,1,2,1200,Partially Furnished,,,Kuala Lumpur , Bukit Jalil
Residensi KepongMas,2020,1200,Apartment,3,1,2,800,Not Furnished,"Parking, Playground, Lift, Security","Air-Cond, Cooking Allowed",Kuala Lumpur , Kepong
Sentul Utama Condominium,2009,1100,Condominium,3,1,2,877,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Barbeque area, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Sentul
i-Zen @ Kiara 1,2008,4500,Condominium,3,2,3,1430,Fully Furnished,"Swimming Pool, Barbeque area, Gymnasium, Squash Court, Parking, Security, Playground, Sauna",,Kuala Lumpur , Mont Kiara
Impiana Sky Residensi,2021,1200,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Security, Playground, Gymnasium, Parking",,Kuala Lumpur , Bukit Jalil
Berlian Residence @ Setapak,,1500,Condominium,3,1,2,900,Partially Furnished,,,Kuala Lumpur , Setapak
Residensi Jalilmas,,1100,Apartment,3,1,2,800,Partially Furnished,"Security, Multipurpose hall, Minimart, Parking",,Kuala Lumpur , Bukit Jalil
Ativo Suites @ Damansara Avenue,2021,1800,Service Residence,1,1,1,750,Partially Furnished,"Security, Swimming Pool, Playground, Gymnasium, Jogging Track, Parking, Barbeque area, Lift, Sauna, Minimart, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sri Damansara
M Vertica,2023,3000,Condominium,4,,2,1000,Fully Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track, Lift, Security, Tennis Court",,Kuala Lumpur , Cheras
"SkyAwani 3 Residence, Setapak",2021,1250,Condominium,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",,Kuala Lumpur , Setapak
SkyMeridien Residences @ Sentul East,2022,1999,Condominium,1,1,1,600,Fully Furnished,"Club house, Barbeque area, Gymnasium, Jogging Track, Security, Minimart, Playground, Sauna, Swimming Pool, Tennis Court, Squash Court, Lift, Multipurpose hall, Parking",,Kuala Lumpur , Sentul
Putra Majestik,2008,1500,Condominium,3,1,2,1020,Fully Furnished,,,Kuala Lumpur , Jalan Ipoh
The Ridge @ KL East,2020,1999,Condominium,1,1,1,700,Fully Furnished,"Security, Gymnasium, Jogging Track, Barbeque area, Playground, Multipurpose hall, Swimming Pool",,Kuala Lumpur , Ampang
Royal Regent (Sri Putramas 3),2013,1900,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Tennis Court, Sauna, Playground, Swimming Pool, Gymnasium",,Kuala Lumpur , Jalan Kuching
The Ridge @ KL East,2020,1700,Condominium,1,1,1,700,Partially Furnished,"Security, Gymnasium, Jogging Track, Barbeque area, Playground, Multipurpose hall, Swimming Pool",,Kuala Lumpur , Ampang
Residensi KepongMas,2020,1200,Apartment,3,1,2,800,Partially Furnished,"Parking, Lift, Security, Playground, Minimart","Cooking Allowed, Air-Cond",Kuala Lumpur , Kepong
Idaman Sutera,,950,Condominium,3,,2,845,Partially Furnished,"Security, Barbeque area, Swimming Pool, Minimart, Jogging Track, Parking, Playground, Gymnasium, Tennis Court, Sauna",,Kuala Lumpur , Setapak
THE FENNEL AT SENTUL EAST,2017,2500,Condominium,3,2,3,1200,Fully Furnished,,,Kuala Lumpur , Sentul
Sri Ayu,,1700,Condominium,3,,2,1200,Fully Furnished,"Gymnasium, Swimming Pool, Playground, Parking, Security, Multipurpose hall, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setiawangsa
Bukit OUG Condominium,,1000,Condominium,2,1,1,775,Fully Furnished,"Security, Minimart, Squash Court, Jogging Track, Playground, Swimming Pool, Tennis Court, Gymnasium, Parking, Lift, Sauna, Multipurpose hall","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Jalil
SkyMeridien Residences @ Sentul East,2022,1999,Condominium,2,2,2,800,Partially Furnished,"Club house, Barbeque area, Gymnasium, Jogging Track, Security, Minimart, Playground, Sauna, Swimming Pool, Tennis Court, Squash Court, Lift, Multipurpose hall, Parking",,Kuala Lumpur , Sentul
Midfields 2,2017,1300,Condominium,3,,2,1040,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track","Air-Cond, Washing Machine",Kuala Lumpur , Sungai Besi
UBN Tower,,2100,Condominium,1,1,1,720,Fully Furnished,"Sauna, Tennis Court, Security, Swimming Pool, Squash Court, Parking, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , KLCC
